"id","mz","rt","annotation"
"M627.42T945.38",627.4163,945.38,""
"M298.22T984.33",298.2171,984.33,""
"M454.29T963.69",454.2938,963.69,""
"M595.43T950.84",595.4256,950.84,""
"M289.15T954.48",289.1541,954.48,""
"M267.17T955.25",267.1722,955.25,""
"M302.21T956.81",302.212,956.81,""
"M284.2T959.42",284.2006,959.42,""
"M330.21T962.26",330.2069,962.26,""
"M673.38T966.68",673.3776,966.68,""
"M359.28T966.42",359.2799,966.42,""
"M480.31T982.77",480.3095,982.77,""
"M500.22T974.72",500.2174,974.72,""
"M304.19T977.83",304.1893,977.83,""
"M303.19T979.65",303.186,979.65,""
"M505.25T982.5",505.254,982.5,""
"M483.27T981.33",483.2721,981.33,""
"M502.29T985.62",502.2911,985.62,""
"M959.61T986.65",959.6091,986.65,""
"M361.24T989",361.2357,989,""
"M328.23T993.95",328.2275,993.95,""
"M99.51T1040.17",99.5123,1040.17,""
"M312.23T1001.35",312.2327,1001.35,""
"M340.23T1007.62",340.2276,1007.62,""
"M316.23T1007.37",316.2276,1007.37,""
"M310.22T1008.4",310.2166,1008.4,""
"M324.23T1025.79",324.2327,1025.79,""
"M699.39T1013.83",699.3932,1013.83,""
"M385.3T1014.61",385.2956,1014.61,""
"M677.41T1014.86",677.4117,1014.86,""
"M239.66T1017.2",239.6648,1017.2,""
"M496.34T1018.23",496.34,1018.23,""
"M527.32T1021.62",527.3199,1021.62,""
"M359.28T1022.4",359.2802,1022.4,""
"M1031.65T1023.18",1031.649,1023.18,""
"M292.66T1025.52",292.66,1025.52,""
"M326.38T1031.82",326.3786,1031.82,""
"M342.24T1034.94",342.2436,1034.94,""
"M314.21T1034.15",314.212,1034.15,""
"M312.2T1037.01",312.196,1037.01,""
"M326.25T1043.73",326.2486,1043.73,""
"M522.36T1043.6",522.3553,1043.6,""
"M701.41T1049.33",701.4089,1049.33,""
"M387.31T1049.58",387.3113,1049.58,""
"M679.43T1051.39",679.4271,1051.39,""
"M459.23T1054.91",459.2286,1054.91,""
"M341.27T1084.63",341.2667,1084.63,""
"M553.34T1072.25",553.3355,1072.25,""
"M385.29T1079.09",385.2944,1079.09,""
"M1083.68T1073.79",1083.6806,1073.79,""
"M381.26T1078.47",381.2624,1078.47,""
"M342.24T1078.72",342.2433,1078.72,""
"M359.28T1078.46",359.2801,1078.46,""
"M727.42T1093.9",727.4246,1093.9,""
"M473.35T1082.31",473.3455,1082.31,""
"M429.32T1084.63",429.3193,1084.63,""
"M507.27T1100.59",507.2703,1100.59,""
"M485.29T1092.08",485.2888,1092.08,""
"M413.33T1095.83",413.3265,1095.83,""
"M705.44T1095.83",705.4419,1095.83,""
"M326.25T1125.41",326.2481,1125.41,""
"M397.26T1099.57",397.2573,1099.57,""
