names(shortlist),med.mz,med.rt,library annotation,putative annotation
M270.19T766.9,270.1850600959,766.903,NA,C9:1-HQ
M274.27T767.94,274.2740999932,767.941,NA,NA
M328.14T772.12,328.1425110109,772.117,NA,NA
M655.28T772.63,655.2753485401,772.628,NA,NA
M242.15T789.6,242.1541916941,789.603,NA,C7:1-HQ
M309.13T780.23,309.1310069535,780.2255,NA,NA
M353.16T780.48,353.1570872656,780.4815,NA,NA
M113.06T779.69,113.0596072533,779.693,NA,NA
M304.19T786.75,304.1907027317,786.7545,NA,NA
M184.08T792.48,184.0754901394,792.477,NA,NA
M260.16T796.66,260.1647568731,796.662,HQNO,NA
M244.17T796.4,244.1699714875,796.397,HHQ,NA
M312.2T794.57,312.1950640952,794.567,NA,NA
M159.07T795.61,159.0680621143,795.611,HHQ (fragment),NA
M503.33T797.17,503.3270649865,797.17,NA,NA
M519.32T799.12,519.3229124697,799.122,HQNO [2M+H]+,NA
M161.1T800.82,161.095965581,800.819,NA,NA
M302.17T804.83,302.1748891147,804.83,NA,NA
M201.09T806.25,201.0908541992,806.25,NA,NA
M286.18T808.85,286.1804289572,808.854,NA,C9:1-QNO
M276.16T811.73,276.1598014703,811.725,NA,NA
M172.17T813.55,172.1697698919,813.5545,NA,NA
M432.26T815.37,432.2649809357,815.371,NA,NA
M325.07T819.96,325.0674706347,819.961,NA,pyochelin
M272.16T822.08,272.1648115315,822.079,NA,C8:1-QNO
M314.21T825.99,314.2121426694,825.994,NA,C11:1-QNO
M288.2T824.42,288.195610856,824.422,NA,C9-QNO
M284.16T840.09,284.1647662489,840.092,NA,NA
M326.18T833.85,326.1758454894,833.846,NA,NA
M358.2T834.1,358.2021877615,834.098,NA,NA
M274.18T842.43,274.1805844554,842.43,NA,C8-QNO
M358.2T835.92,358.2016384199,835.9235,NA,NA
M258.19T853.38,258.1855350834,853.3785,NA,C8-HQ
M330.21T844.12,330.2068053855,844.122,NA,NA
M286.18T864.03,286.1807815345,864.035,NA,C9:1-QNO
M270.19T873.15,270.1857649998,873.153,NA,C9:1-HQ
M268.17T875.49,268.1697438545,875.494,NA,NA
M256.17T851.43,256.1698703299,851.429,NA,C8:1-HQ
M310.18T853.38,310.1805745313,853.3785,NA,NA
M250.12T856.23,250.1189033959,856.232,NA,NA
M437.19T860.52,437.1946579565,860.521,NA,NA
M415.21T859.73,415.2126356678,859.735,NA,NA
M324.16T867.42,324.1574402967,867.418,NA,NA
M178.05T867.16,178.0500461365,867.161,NA,NA
M302.18T879.54,302.1750918462,879.537,NA,NA
M316.23T869.51,316.2264858116,869.514,NA,C11-QNO
M316.23T871.07,316.2275591245,871.073,NA,C11-QNO
M571.35T875.76,571.3533575466,875.759,NA,NA
M198.09T874.45,198.0913774526,874.453,NA,NA
M346.2T881.21,346.2013976332,881.2065,NA,NA
M452.28T896.1,452.2778980604,896.102,NA,NA
M170.1T885.9,170.0966515139,885.901,NA,NA
M332.22T890.1,332.2218557912,890.103,NA,NA
M314.21T892.19,314.2111682803,892.19,NA,C11:1-QNO
M300.2T925.27,300.1959783203,925.268,NA,C10:1-QNO
M288.2T902.1,288.1964665347,902.098,NA,C9-PQS
M300.2T894.8,300.1969473407,894.8,NA,C10:1-QNO
M474.26T899.22,474.2600244384,899.222,NA,NA
M284.2T904.43,284.2014139992,904.431,NA,C10:1-HQ
M575.38T904.16,575.3849872984,904.165,NA,NA
M184.08T908.6,184.0758718698,908.601,NA,NA
M292.17T907.81,292.1676137512,907.812,NA,NA
M272.2T910.42,272.2017203149,910.423,NA,C9-HQ
M541.38T909.89,541.3787454237,909.894,NA,NA
M543.4T910.68,543.3952048994,910.681,NA,NA
M563.36T910.94,563.3615985816,910.937,NA,NA
M342.24T912.12,342.2433316894,912.116,NA,C13:1-QNO
M646.36T912.5,646.3561906898,912.498,NA,NA
M312.2T929.44,312.1962522993,929.4375,NA,NA
M327.34T917.18,327.3377660247,917.182,NA,NA
M304.19T921.87,304.1914381549,921.866,NA,NA
M286.18T921.6,286.1807547596,921.6015,NA,C9:1-PQS
M360.22T923.7,360.2170004487,923.696,NA,NA
M358.24T929.17,358.2374780908,929.172,NA,NA
M672.37T930.21,672.3713088969,930.213,NA,NA
M499.29T936.54,499.2879195323,936.54,NA,NA
M314.21T944.87,314.211896394,944.8725,NA,C11:1-PQS
M296.2T958.11,296.2015152126,958.1115,NA,NA
M627.42T945.38,627.4163440135,945.379,NA,NA
M298.22T984.33,298.2170860031,984.326,NA,C11:1-HQ
M454.29T963.69,454.2937813919,963.695,NA,PE(16:0/0:0)
M595.43T950.84,595.4255585533,950.838,NA,NA
M289.15T954.48,289.1541065258,954.475,NA,NA
M267.17T955.25,267.1721733074,955.252,NA,NA
M302.21T956.81,302.2119800952,956.812,NA,C10-QNO
M284.2T959.42,284.2006356225,959.422,NA,C10:1-HQ
M330.21T962.26,330.206914678,962.263,NA,NA
M673.38T966.68,673.3775825431,966.676,NA,Rha-Rha-C10-C10 +Na 
M359.28T966.42,359.2798617442,966.418,NA,NA
M480.31T982.77,480.3095438028,982.7665,NA,PE(18:1/0:0)
M500.22T974.72,500.2174304918,974.72,NA,NA
M304.19T977.83,304.1892635655,977.831,NA,NA
M303.19T979.65,303.1859971298,979.651,NA,NA
M505.25T982.5,505.2540445737,982.505,NA,PG(16:1/0:0) +Na
M483.27T981.33,483.2721431846,981.332,NA,PG(16:1/0:0)
M502.29T985.62,502.2911101068,985.618,NA,PE(18:1/0:0) +Na
M959.61T986.65,959.6091281378,986.655,NA,NA
M361.24T989,361.2356606611,989.0045,NA,NA
M328.23T993.95,328.2274876733,993.946,NA,C12:1-QNO
M99.51T1040.17,99.5122880377,1040.166,NA,NA
M312.23T1001.35,312.232705742,1001.353,NA,C12:1-HQ
M340.23T1007.62,340.2275893604,1007.6215,NA,NA
M316.23T1007.37,316.2276353409,1007.3655,NA,C11-PQS
M310.22T1008.4,310.2165731056,1008.396,NA,NA
M324.23T1025.79,324.2326872422,1025.7865,NA,NA
M699.39T1013.83,699.3931806439,1013.834,NA,Rha-Rha-C10-C12:1 / Rha-Rha-C12:1-C10 +Na
M385.3T1014.61,385.2955556008,1014.606,NA,NA
M677.41T1014.86,677.4116593292,1014.8635,NA,Rha-Rha-C10-C12:1 / Rha-Rha-C12:1-C10
M239.66T1017.2,239.6647645404,1017.195,NA,NA
M496.34T1018.23,496.3399705475,1018.233,NA,PC(16:0/0:0)
M527.32T1021.62,527.3198692873,1021.6215,NA,Rha-C10-C10 /Rha-C12-C8 +Na
M359.28T1022.4,359.2802137031,1022.397,NA,NA
M1031.65T1023.18,1031.648958509,1023.1755,NA,NA
M292.66T1025.52,292.6599825213,1025.522,NA,NA
M326.38T1031.82,326.3785623734,1031.818,NA,NA
M342.24T1034.94,342.2436015759,1034.936,NA,NA
M314.21T1034.15,314.2120396213,1034.151,NA,NA
M312.2T1037.01,312.1959527331,1037.011,NA,NA
M326.25T1043.73,326.2485626679,1043.733,NA,C13:1-HQ
M522.36T1043.6,522.3553233821,1043.599,NA,NA
M701.41T1049.33,701.4088842487,1049.328,NA,Rha-Rha-C10-C12 / Rha-Rha-C12-C10 +Na
M387.31T1049.58,387.3113489241,1049.581,NA,NA
M679.43T1051.39,679.4270914272,1051.394,NA,Rha-Rha-C10-C12 / Rha-Rha-C12-C10
M459.23T1054.91,459.2285754999,1054.9125,NA,NA
M341.27T1084.63,341.2666915133,1084.633,NA,NA
M553.34T1072.25,553.3355254256,1072.252,NA,Rha-C10-C12:1 / Rha-C12:1-C10 +Na
M385.29T1079.09,385.2944394364,1079.092,NA,NA
M1083.68T1073.79,1083.6806324309,1073.7945,NA,NA
M381.26T1078.47,381.2623612727,1078.4675,NA,NA
M342.24T1078.72,342.2433294154,1078.7205,NA,C13:1-PQS
M359.28T1078.46,359.2801294373,1078.461,NA,NA
M727.42T1093.9,727.4245857502,1093.896,NA,Rha-Rha-C12:1-C12 / Rha-Rha-C12-C12:1 +Na
M473.35T1082.31,473.3454962673,1082.31,NA,NA
M429.32T1084.63,429.3192796213,1084.6315,cholesteryl acetate,NA
M507.27T1100.59,507.2702727949,1100.587,NA,NA
M485.29T1092.08,485.2888475743,1092.079,NA,NA
M413.33T1095.83,413.3265086999,1095.828,NA,NA
M705.44T1095.83,705.4418717375,1095.827,NA,Rha-Rha-C12:1-C12 / Rha-Rha-C12-C12:1
M326.25T1125.41,326.2481087618,1125.407,NA,C13:1-HQ
M397.26T1099.57,397.2573424379,1099.565,NA,NA
M311.26T1103.98,311.2564697488,1103.976,NA,NA
M555.35T1108.39,555.3507915396,1108.39,NA,Rha-C10-C12 / Rha-C12-C10 +Na
M387.31T1109.17,387.3114563933,1109.168,NA,NA
M577.33T1107.35,577.3310299649,1107.346,NA,NA
M1087.71T1109.95,1087.7120460901,1109.948,NA,NA
M487.36T1112.82,487.3602246229,1112.8165,NA,NA
M443.34T1115.66,443.3350981847,1115.665,NA,NA
M399.31T1118.65,399.3088657233,1118.652,NA,NA
M355.28T1117.75,355.2825145742,1117.752,NA,NA
M99.51T1121.65,99.5125494865,1121.646,NA,NA
M124.09T1369.75,124.0871045451,1369.754,NA,NA
M328.26T1127.63,328.2636888793,1127.635,NA,C13-HQ
M533.29T1139.9,533.285588337,1139.904,NA,NA
M729.44T1131.57,729.4401085332,1131.566,NA,Rha-Rha-C12-C12 +Na
M415.34T1132.34,415.3422941943,1132.3425,NA,NA
M707.46T1132.6,707.4579083536,1132.5985,NA,Rha-Rha-C12-C12
M511.3T1137.29,511.3033201711,1137.291,NA,NA
M581.37T1153.59,581.3668283414,1153.5925,NA,NA
M282.14T1145.42,282.1366689347,1145.424,NA,NA
M555.36T1151.77,555.3582933898,1151.768,NA,Rha-C10-C12 / Rha-C12-C10 +Na
M278.18T1152.3,278.1836281979,1152.301,NA,NA
M387.31T1159.58,387.3111244846,1159.575,NA,NA
M409.29T1159.84,409.2935329422,1159.8355,NA,NA
M755.46T1159.83,755.4554764836,1159.829,NA,NA
M413.32T1163.6,413.3240996603,1163.6035,NA,NA
M369.3T1166.6,369.2980394675,1166.5955,NA,NA
M282.22T1185.24,282.222123232,1185.238,NA,NA
M287.19T1183.15,287.188031241,1183.1535,NA,NA
M583.38T1189.9,583.3815813139,1189.9035,NA,NA
M415.34T1190.29,415.341319649,1190.286,NA,NA
M559.13T1193.82,559.1303156195,1193.8185,NA,NA
M354.32T1200.38,354.3185498337,1200.378,NA,NA
M257.25T1211.04,257.2478042477,1211.0365,NA,NA
M757.47T1212.99,757.4700730198,1212.993,NA,NA
M705.51T1214.43,705.5121900856,1214.429,NA,NA
M661.49T1220.54,661.485604334,1220.5435,NA,NA
M617.46T1226.29,617.4586802639,1226.287,NA,NA
M573.43T1232.94,573.4323375411,1232.942,NA,NA
M354.32T1236.97,354.3177695698,1236.971,NA,NA
M529.41T1240.64,529.4065231039,1240.643,NA,NA
M283.22T1239.08,283.216672378,1239.075,NA,NA
M485.38T1248.74,485.3810208727,1248.743,NA,NA
M123.09T1250.04,123.0917072734,1250.037,NA,NA
M284.29T1262.26,284.2948676171,1262.259,NA,NA
M441.36T1259.15,441.3554503707,1259.15,NA,NA
M633.15T1261.75,633.1491013178,1261.749,NA,NA
M532.36T1262.01,532.3576966453,1262.006,NA,NA
